"grup_codigo"|"grup_classificacao"|"grup_descricao"|"grup_prodserv"|"grup_decimaisest"|"grup_recuo"|"grup_periodos"|"grup_codigoncm"|"grup_comissao"|"grup_dpto_codigo"|"grup_comportamento"|"grup_classfiscal"|"grup_tipoitem"|"grup_dtestmin"|"grup_ctrlestmin"|"grup_percabast"|"grup_abatimento"|"grup_extra1"|"grup_extra2"|"grup_extra3"|"grup_extra4"|"grup_extra5"|"grup_extra6"|"grup_extra7"|"grup_extra8"|"grup_extra9"|"grup_grupo_ecomm"|"grup_dthrmanutencao"|"grup_dthrintegracao"|"grup_margemecomm"
"11585"|"325013"|Ratoeira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11197"|"3030020008"|Redes/Tarrafas/Samburas|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12185"|"0060050001"|Refeição|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12186"|"0060050002"|Refeição Marmita|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10794"|"0040230002"|Refil|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10603"|"0020020002"|Refresco Pó|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10606"|"002003"|Refrigerante|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10608"|"0020030002"|Refrigerante Garrafa Vidro|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10607"|"0020030001"|Refrigerante Lata|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10612"|"0020030003"|Refrigerante Pet|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11102"|"2020010011"|Regador|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11153"|"3020050006"|Regua|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11693"|"332002"|Regulador Gas|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11729"|"338002"|Relogio|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10743"|"0040080004"|Rep Pontas|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10773"|"0040160004"|Repelente|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10878"|"101001"|Requeijão|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12184"|"006005"|Restaurante|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"11707"|"334002"|Revista|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12059"|"1010090004"|Ricota|P|3|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"11624"|"328002"|Rodo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10762"|"0040130003"|Roll on|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10839"|"0050040001"|Rose|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12088"|"006004"|Rotisseria|P|0|0|0|""||""|""||"04"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"11632"|"3280030007"|Roupa|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11087"|"2010080009"|Roupa Para Pet|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11953"|"5040040017"|Roupao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10844"|"005006"|Rum|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12107"|"0040260007"|Sab Caixa|P|0|0|0|""||""|""|"1"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10801"|"004026"|Sabonete|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12103"|"2010070006"|Sabonete Pet|P|0|0|0|""||""|""|"1"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"11427"|"3120010016"|Saboneteira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10848"|"0050080002"|Saborizada|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10705"|"003022"|Sabão Barra|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10708"|"0030220003"|Sabão Barra Coco|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10709"|"0030220004"|Sabão Barra Glicerinado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10706"|"0030220001"|Sabão Barra Tradicional|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10707"|"0030220002"|Sabão Barra Álcool|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10710"|"0030220005"|Sabão Pasta|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10880"|"1010010002"|Sachet|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10587"|"001025"|Sachê|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11565"|"3240080003"|Saco Aspirador|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11564"|"3240080002"|Saco Lixo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11563"|"3240080001"|Saco Multiuso|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11566"|"3240080004"|Sacola|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11567"|"3240080005"|Sacola Presente|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11562"|"324008"|Sacos Diversos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10563"|"0010170016"|Sagu|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11894"|"5040010008"|Saia|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
